,product_type,description
681,eyeshadow,"Eight dynamic, perfectly color-coordinated shades with high pigment and 
pearl for ultra-impact color. Shades can be used together or 
individually to create an endless variety of looks. "
682,eyeshadow,"Pure Anada Loose Luminous Eye Colours are made with finely milled micas that impart an illuminating glow.  Apply them dry for soft, subtle color, or wet for more vibrant intensity.  Learn how you can use your favourite shade to make customized lip balm with our easy DIY Lip Balm recipe on our blog, The Well!About Shade Tones: Warm Shades (W) if you have yellow undertones in your skinCool Shades (C) if you have blue undertones in your skinNeutral Shades (N) to accent any skin tone or eye colorApplication Tips: Dip your shadow brush into the loose minerals and tap off any excess 
powder.  Gently stipple the minerals on your eye lids.   Make sure your 
skin is well hydrated so the minerals will adhere.  Try misting your 
skin with Pure Anada Marine Mineral Toner, prior to applying your 
makeup.If your shadow is prone to creasing, make sure your lids are free 
from excess oils before applying shadow.  If the problem is persistant, 
try priming your lids with Pure Anada Matte Minerals Finishing Powder or
 a coordinating Velvet Matte Shadow.
Deep shades of loose mineral shadow can be used as eyeliner.  To 
create a soft dry line, dip an angled liner brush into the powder, tap 
it off and line your eyes.  Or to create a liquid liner, wet your brush 
and dip it into the powder.  The minerals will stick to the brush.  Make
 a paste on the back of your hand, or in the lid of the jar.  Apply to 
your eyes!Ingredients: Mica,  Iron Oxides, Ultramarines, May contain: Titanium Dioxide"
683,eyeshadow,"High-pigmentation and pearl-density create a unique, satiny texture that lasts and lasts. A versatile collection
of classic and trend shades can be easily worn alone or playfully combined for a variety of looks."
684,eyeshadow,"Dare to wear 24HR shadow!Maybelline's Color Tattoo Cream Gel Shadow uses ink technology for their most intense, long-lasting colour saturation. The cream formula glides on without creasing and keeps colour vibrant.Ophthalmologist-tested. Safe for sensitive eyes and contact lens wearers.
                    
                    
                    
                        
                        For best results: With 
fingertips, sweep all over eye from inner corner and work outwards. For
 added drama, darken as desired.               "
685,blush,"You will absolutely LOVE these Radiant Shimmer Coconut Multiples! Coconut infused multi-use creamy colors for cheeks, eyes, lips and even your body are housed in a magically decorated palette. Create shimmering highlights, glowing illumination and beautiful contours. Natural mineral makeup formula blends effortlessly and can be used sheer, layered or built-up for more drama. Go ahead and play all you want, these mineral makeup colors are full of skin-loving naturals.Includes 3 Shimmering Shades:Bronzed: Perfectly glowing sun-kissed color with golden shimmer shadowIsland Rose: shimmering, radiant dewy pink shadowMoonlit: Iridescent pale shades of moon-kissed shimmerFeatures:No animal testingGluten-free100% vegan and cruelty-freeFormulated without: Phthalates, parabens, carmine, beeswax, lanolin, mineral oils, propylene glycol, petroleum and FD& C colors (along with other nasties you do not want on your skin). Ingredients: Ethylhexyl Palmitate, Silica, Mica,  Caprylic/Capric Triglyceride,Helianthus Annuus (Sunflower) Seed Oil, Ozokerite, Copernicia Cerifera(Carnauba) Wax, Euphorbia Cerifera (Candelilla) Wax, Cetyl Palmitate, Carthamus Tinctorius (Safflower) Seedoil, Parfum (All Natural), Tocopheryl Acetate (Vitamin E), Macrocystis Pyrifera (Brown Kelp) Extract,Cocos Nucifera (Coconut) Fruit Extract, Tin Oxide. Titanium Dioxide Ci 77891, Iron Oxides Ci 77941"
686,eyeshadow,"Physicians Formula Matte Collection Quad Eye Shadow has a silky smooth formula, is easy to blend and is safe for 
sensitive eyes and contact lens wearers.Directions for Use: These
 natural looking shades can be used independently or combined for a 
total eye focus. Use lighter shades on eyelid and brow bone, medium 
shades on eyelid and
 darker shade in the crease as a contour for a more dramatic effect.    
              Ingredients: TALC,ZINC STEARATE, DIMETHICONE, CAPRYLIC/CAPRIC TRIGLYCERIDE,KAOLIN, 
SILICA, TRISODIUM EDTA, IMIDAZOLIDINYL UREA, 
METHYHLPARABEN,PROPYLPARABEN.MAY CONTAIN: MICA,TITANIUM DIOXIDE,IRON 
OXIDES,CARMINE,MANGANESE VIOLET,BISMUTH OXYCHLORIDE, FERRIC 
FERROCYANIDE, CHROMIUM OXIDE GREENS, ULTRAMARINES, BLUE 1 LAKE, YELLOW 5
 LAKE, SILK POWDER.Hypoallergenic. Fragrance-free. Safe for sensitive eyes and contact lens wearers. Dermatologist Approved. Easy to blend."
687,eyeshadow,"Cargo Eye Shadow singles are packaged in their signature tin.  This 
soft and velvety formula has a smooth feel and delivers a long-lasting, 
even application. Rich pigments adhere to skin to give long wearing, 
saturated color. Colors adhere to the skin and blend effortlessly  and 
are buildable for added intensity.  May also be used wet or dry as an 
eye liner.
 Eyes are enhanced  in a wide variety of colors that offer the ultimate in makeup expression. Paraben free.
 
Features:
Silica  helps with the blendability of the product and gives a velvety smooth texture.  Allows for shadow to be used wet.Jet Milled Talc provides smooth feel and application.Vitamin E  is an antioxidant  helps to keep the skin supple and smooth.Aloe Barbadensis Leaf Extract  hydrates and nourishes the skin.Paraben-freeShade Range: Ingredients: Talc, Octyldodecyl Stearoyl Stearate, Octyldodecyl Stearate, Zinc 
Stearate, Silica, Boron Nitride, Tocopheryl Acetate, Phenoxyethanol, 
Caprylyl Glycol, Alumina, Carthamus Tinctoris (Safflower) Seed Oil, Aloe
 Barbadensis Leaf Extract, Sorbic Acid. May Contain (+/-): Mica 
(CI 77019), Iron Oxides (CI 77491, CI 77492, CI 77499), FD&C Yellow 
#5 Lake (CI 19140:1), FD&C Blue #1 Lake (CI 42090), FD&C Red #40
 Lake (CI 16035:1), Titanium Dioxide (CI 77891), Bismuth Oxychloride (CI
 77163), Chromium Oxide Green (CI 77288), Chromium Hydroxide Green (CI 
77289), Ferric Ferrocyanide (CI 77510), Manganese Violet (CI 77742), 
Ultramarines (CI 77007), Bronze Powder (CI 77400), Tin Oxide (CI 77861)."
688,eyeshadow,"Pure Anada is pleased to bring you a lovely selection of convenient pressed mineral colors!   You’ll love the silky texture and longevity of these very wearable shades.Mineral pigments and organic Jojoba are pressed together to create a natural makeup product. You can have confidence that you are making a beautiful, healthy choice!Pure Anada pressed colors are designed to be inserted into customizable magnetic compacts like the Pure Ananda Reusable Magnetic Compact. Design your own palette! What look do you go for: the natural bronzed babe, tropical brights, or classic beauty? Try all three with this get the look with natural makeup piece found on our blog, The Well! Shadow Finishes: Demi-Matte shadows are a combination of opaque matte minerals and luminous satin mica.  This provides both true color and a light-reflecting finish.Matte shadows are soft, silky shadows that do not exude any sheen whatsoever.Shades: Ingredients: Mica (CI 77019), Iron Oxides (CI 77492, CI 77499) Calcium Carbonate, Caprylic Triglyceride *Simmondsia Chinensis (Jojoba seed oil) Ultramarines (CI 77007), Titanium Dioxide (CI 77891) * Certified Organic IngredientVegan, Gluten Free, Non-GMO, Dairy Free, Peanut Free, Natural"
689,bronzer,"All you need to look naturally gorgeous!  The Solar Complete Mineral Palette is a full set of eye shadows, blush, bronzer and coconut highlighters all in one beautiful, recyclable palette.  Each natural mineral shadow is highly pigmented and so smooth it applies like a cream.  Plus the new blush and bronzer are infused with coconut, apply easily and can be layered to build color.  The coconut highlighters are in two new shades as well as the popular Island Rose and can be used on cheekbones, eye brow bones, and even the lips to provide the perfect amount of natural brightness.  With a variety of colors, many looks are achievable so you can be natural by day or smokin' hot by night.Colours Included:Eye shades: Neptune, Glow, Treasure, Coral, Mermaid Aqua, SandalwoodCheek shades: Flushed, BronzedHighlighter shades: Gold Dust, Island Rose, Pink Opal"
690,eyeshadow,"Dare to wear 24HR shadow!Maybelline's Color Tattoo Cream Gel 
Shadow uses ink technology for their most intense, long-lasting shimmery metallic shades﻿. The cream formula glides on without creasing and keeps 
colour vibrant.Ophthalmologist-tested. Safe for sensitive eyes and contact lens wearers.
                    
                    
                    
                        
                        Shade Range: For best results: With 
fingertips, sweep all over eye from inner corner and work outwards. For
 added drama, darken as desired.      "
691,eyeliner,"CoverGirl Trunaked Waterproof Eyeliner Duo takes eyes from subtle to smokey in no time! Features:Creamy waterproof formula Blends just as beautifully as it stays put Partner this twin tip eyeliner pencil with the gorgeous neutrals in the trunaked palettes to create endless easy, breezy, beautiful possibilitiesHow to Apply: Apply liner along your top and bottom lashes for the full trunaked effect."
692,eyeliner,"This Anna Sui Eye Brightener is an eye makeup primer that evens, tones and provides a brightened 3D effect, designed specifically for delicate eye areas.  Features:Combined with polarized pearls in red, blue, and silver for a naturally brightened 3D effectSmooths skin tones, allowing eye makeup to spread smoothly onto the skinGentle enough to protect delicate eye areasDirections: Apply before or after makeup.  Can be used to highlight when applied around eye area before makeup or used as a light concealer under eyes and brow bone after makeup."
693,eyeliner,This Anna Sui Sharpener for eyeliner pencils features two sharpener sizes and a mess free cover to catch the eyeliner shavings. 
694,eyeliner,"Bring sexy smolder to eyes & brows.  Soft powder adheres to brows and defines eyes.Features:2-in-1 brow & liner powderVelvety powder fills in browsUse also to softly line & define eyesDirections: Twist open and pull applicator up and tap lightly on tube side to remove excess powder. Lightly brush over eyebrows until desired effect is reached. Also use to softly line & define eyesIngredients: Boron Nitride, Dimethicone, Silica, Polyethylene, Pentylene Glycol, Pumice, Kaolin, Dimethiconol, Phenoxyethanol, Ethylhexylglycerin, Dehydroacetic Acid, Copernicia Cerifera (Carnauba) Wax/Cire De Carnauba, May Contain/Peut Contenir: Titanium Dioxide, Iron Oxides, Mica"
695,eyeliner,"This Anna Sui Pencil Eyeliner is a soft, waterproof eyeliner that glides on effortlessly for a long lasting finish. Used to create intense colour definition.Features:Waterproof formula reduces smudging allowing colours to stay fresh Minimal amount of waxes and oils allow for a smooth application5 essential on-trend colours produced by a combination of pearl and colourants"
696,eyeliner,"CoverGirl Trunaked Waterproof Eyeliner Duo takes eyes from subtle to smokey in no time! Features:Creamy waterproof formula Blends just as beautifully as it stays put Partner this twin tip eyeliner pencil with the gorgeous neutrals in the trunaked palettes to create endless easy, breezy, beautiful possibilitiesHow to Apply: Apply liner along your top and bottom lashes for the full trunaked effect."
697,eyeliner,NEW Revlon PhotoReady Kajal Matte Eye Pencil is a highly pigmented colour with matte finish that glides on effortlessly.Features:Use the built in smudger to take it from precise to smokySoft kajal can be used to line the inner rimAll day wearOphthalmologist tested 
698,eyeliner,"
Ultra-shimmery & versatile glitter eyeliner pencils create precise definition or smudged out glamour instantly!Features:Highly-pigmented, creamy color Packed with illuminating shimmer for eyes that sparkleThree Shades: Natural (Bronze), Playful (Gold), Dramatic (Black)Directions: Apply eyeliner at the base of upper and lower lashes.Layer shades together for endless looks. For more defined eyes, apply along lower lash line as well.Ingredients: Ingredients: Hydrogenated Polyisobutene, Calcium Sodium Borosilicate, Calcium Aluminum Borosilicate, Polyethylene Terephthalate, Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate, Synthetic Wax, Ethylhexyl Palmitate, Beeswax/Cire d'abeille, Copernicia Cerifera (Carnauba) Wax/Cire de Carnauba, Synthetic Fluorphlogopite, Silica, Ozokerite, Ascorbyl Palmitate, Citric Acid, Lecithin, Polymethyl Methacrylate, Polyurethane-11, Tin Oxide, Tocopherol"
699,eyeliner,"This value pack contains a mascara that gives exceptional lash fullness that is soft - even to the touch and a self-sharpening eye liner for a perfect point every time.Features:Full Lash Bloom Mascara - very blackPerfect Point Plus Eye Liner - black onyx Soft, full lashes that are never stiff or brittleEye liner has soft smudger tip for expert blendingSuitable for contact lens wearersDirections: Apply liner along bottom and top lash lines, smudge using soft tip tool. Finish by brushing upper and lower lashes generously with up to 2 coats of mascara."
700,eyeliner,"Master the smoky eye in one step - really! Every makeup artist knows: 
the perfect smoky eye is about the perfect pairing of eyeliner and 
shadow. Now, L’Oréal Paris introduces the first smoky eye powder liner, 
blending the best of eyeliner and shadow into a single product. Its 
Infallible powder formula lasts up to 14 hours while the suede-like 
applicator is soft enough to expertly blend, with a pointed tip for 
optimal control."
701,eyeliner,"This Physicians Formula Shimmer Strips Extreme Shimmer Eyeliner Trio gives you highly pigmented color and bold shimmer for a glamorous customized look. Features: Long wearing, water resistant and smudge resistant formula for 24hr wearHypoallergenicParaben & gluten freeDermatologist approvedSafe for sensitive eyes and contact lens wearerDirections: Apply eyeliner at the base of upper shade, layer shades for endless looks.Ingredients: Dimethicone, Calcium Aluminum Borosilicate, Polyethylene, Trimethylsiloxysilicate, Synthetic Wax, Squalane, Polybutene, Silica, Disteardimonium Hectorite, Propylene Carbonate, Tin Oxide, Lecithin, Tocopherol, Ascorbyl Palmitate, Citric Acid. May Contain/Peut Contenir: Bismuth Oxychloride, Black 2, Blue 1 Lake, Chromium Hydroxide Green, Chromium Oxide Greens, Carmine, Ferric Ammonium Ferrocyanide, Ferric Ferrocyanide, Iron Oxides, Manganese Violet, Mica, Titanium Dioxide, Ultramarines, Yellow 5 Lake."
702,eyeliner,"Milani Supreme Kohl Kajal Eyeliner is perfect for tightlining, waterlining or adding definition to the upper lid - there’s nothing this one-stroke wonder can’t do.  With this sleek gold multi-tasker, you can achieve three distinct looks: 1.To keep it natural, line the upper lid and inner rim.  2. For added drama, thicken the line and extend the tip.  3. Feeling bold? Ring the entire eye. Available in a single stellar shade (Blackest Black), the waterproof formula is laced with hydrating, nourishing ingredients. Features:Smooth-glide application creates three looks from precise to boldSuper long-wear & smudge-proofRetractable tip, no sharpening requiredIdeal for use in waterlineWaterproofApplication: One Product Three Looks: Supremely Natural Supremely Dramatic Supremely Bold (will provide eye images for this section) Apply to upper lashline and inner rim for a natural, precise look. For added intensity, slightly thicken the line and extend the tip. For supreme drama, connect through the lower lashline.Ingredients: Cyclopentasiloxane, Hydrogenated Olive Oil Stearyl Esters, Polyethylene, Polybutene, Silica Silylate, Euphorbia Cerifera (Candelilla) Wax, Octyldodecanol, Cera Microcristallina (Microcrystalline Wax) , Theobroma Grandiflorum (Cocoa) Seed Butter, Sodium Ascorbyl Phosphate, Pentaerythrityl Tetra-di-t-Butyl Hydroxyhydrocinnamate, Tocopherol, Sodium Hyaluronate, Zinc Gluconate, Magnesium Aspartate, Water (Aqua), Copper Gluconate, Mica, Iron Oxide (CI 77499), Black 2 (CI 77266), Ferric Ferrocyanide (CI 77510). "
703,eyeliner,"This Annabelle Retractable Eyeliner with integrated sharpener comes in rich, intense colours and 
a creamy texture that glides easily. Waterproof and long-lasting formula. 
                                                                        
                                                               
Ophthalmologist Tested. Waterproof. 12h wear.                           
                                                                      A 
must have for a decadent dose of resistant colour!Shade Range: "
704,eyeshadow,"
        Marcelle Lux Cream Eye Shadow + Liner gives you waterproof color that lasts all day!

A jumbo pencil in a creamy, non-sticky luxurious formula. The 
ultra-silky texture glides on evenly for a quick and easy application 
and color that lasts up to 9 + hours.  Waterproof, the color will not 
smudge, transfer or crease once it sets.Use each pencil alone as a 
shadow or as a liner, or mix and match shades to create your own looks. 
The sponge-end makes smoky-eye looks easy to achieve. Simply use the 
smudge tip to extend the color onto your lid for the perfect smoky eye.

Hypo-allergenic and perfume free.Shade Range:     "
705,eyeliner,"Stay in line!
Cargo Cosmetics Swimmables Eye Pencil is an ultra creamy, extreme wear, waterproof eyeliner with the feel of a 
liquid and versatility of a pencil. Locks comfortably into place for up 
to 14 hours. Creamy, transfer-resistant formula glides on effortlessly 
to create a variety of looks. Allows for ample blending time before 
setting. Concentrated pigments provide rich color payoff. Stays put 
through sun, sweat, swim and tears.   

Features:
 Moisturizing Waterproof PigmentsAvocado and sunflower oil provide a creamy, cushiony texture Durable, budge-proof waxes lock pigments into place for up to 14 hoursLiner tip offers versatile application—from delicate lines to thicker, fuller Ingredients: Isododecane, Synthetic Wax, Hydrogenated Polydicycolpentadiene, 
PEG/PPG-18/18 Dimethicone, Polybutene, Glyceryl 
Tribehenate/Isostearate/Eicosandioate, Nylon-12, Polyethylene, 
Perfluorononyl Dimethicone, Polyglyceryl-4 
Diisostearate/Polyhydroxystearate, Sebacate, Synthetic Beeswax, 
Tocopherol, Pentaerythrityl Tetra-Di-T-Butyl, Hydroxyhydrocinnamate, 
Persea Gratissima (Avocado) Oil, Copernicia Cerifera (Carnauba) Wax, 
Helianthus Annuus (Sunflower) Seed Oil, Phytosterols, Olea Europaea 
Fruit Oil, Sorbitan Oleat, Ascorbyl Palmitate, Tocopheryl Acetate. May Contain (+/-):
  Iron Oxides (CI 77491, CI 77492, CI 77499), Mica (CI 77019), Titanium 
Dioxide (CI 77891), Ferric Ferrocyanide (CI 77510), Carmine (CI 75470)"
706,lip_liner,"The Pacifica Magical Multi-Pencil Prime & Line Lips, Eyes & Face is a multi-use pencil for priming, lining and covering. Use as a natural eyeliner to brighten, over blemishes as a primer (before applying your concealer), or on your lips as a line and prime to make any color pop! Our Magical Multi-Pencil is waterproof and made with rich mineral color to give you natural results that last.Features:Jojoba Oil - Helps keep skin around the lips and eyes moisturizedShea Butter - Helps protects and moisturizes skinVitamin E - Provides anti-aging benefits in addition to helping reduce the appearance of fine linesVitamin C Antioxidant - natural preservative that helps fight free radicals Ingredients: titanium dioxide CI 77891, hydrogenated simmondsia chinensis seed oil, simmondsia chinensis seed oil, caprylic / capric triglycerides, hydrogenated vegetable oil, mica, butyrospermum parkii butter, canola oil, sclerocarya birrea seed oil, iron oxide CI 77492, euphorbia cerifera cera, glyceryl caprylate, copernicia cerifera cera, iron oxide CI 77491, iron oxide CI 77499, tocopherol, ascorbyl palmitate"
707,eyeliner,"The new definition of smokey eye: edgy, soft, smudgeable! Annabelle Smudgeliners 
have a superior long-lasting formula offering rich colour pay-off that 
glides on smoothly to create a defined line, or can be easily blended 
with the built-in smudger tip to achieve a smokey, sultry look.
Its excellent coverage means you can really get creative!
Contains natural oxidants and Vitamin E. Mineral-oil free. 
Ophthalmologist tested.Shade Range: "
708,eyeliner,"Exceptionally rich, the mineral color of Mineral Fusion Eye Pencils glide on smoothly to line, define and enhance eyes. Formulated with Chamomile, Meadowfoam and Vitamin E to soothe delicate skin around eyes. Free of Gluten, Parabens, Artificial Colors, Fragrances and Talc. Never-tested on animals. Hypo-allergenic.Ingredients: Simmondsia Chinensis (Jojoba) Butter, Caprylic/Capric Triglyceride, Limnanthes Alba (Meadowfoam) Seed Oil, Hydrogenated Cottonseed Oil, Mangifera Indica (Mango) Seed Oil, Euphorbia Cerifera (Candelilla) Wax, Glyceryl Caprylate, Copernicia Cerifera (Carnauba) Wax, Macadamia Ternifolia Seed Oil, Tocopherol (Vitamin E), Chamomilla Recutita (Matricaria) Flower Extract, Ascorbyl Palmitate (Vitamin C), Iron Oxides (77491, 77492, 77499), Titanium Dioxide (77891), Mica (77019). Free of Gluten, Parabens, Artificial Colors, Fragrances and Talc. Never-tested on animals. Hypo-allergenic."
709,eyeliner,Specially-designed dual pencil sharpener includes razor-sharp blades to keep pencils of all sizes perfectly-shaped.Features:Dual-purpose sharpener for pencils of all sizesRazor-sharp bladesCompact for easy traveling Directions: Insert pencil into appropriate hole depending on size of pencil and twist.
710,eyeliner,"Get inked — without the commitment! Ink It! colors glide on smoothly and
 easily without skipping, dragging, or pulling. The bright, bold shades 
last all day long.Features: Bright, bold colors for new looks Lasts all day long ­­— no smudging or creasingExpert precision applicationTwist up design"
711,eyeliner,"Stop looking, you have just found the sharpest tool in the shed!Annabelle introduces the very first to mass market 
self-sharpening eyeliners with the Stay Sharp Waterproof Eyeliner. 
Annabelle’s truly innovative concept will keep beautistas on point and 
sharpeners away.The Stay Sharp secret is in the cap! The Annabelle Stay Sharp twist-on 
cap includes a sharpener. Every time the cap is twisted back on the 
pencil, the blades sharpen the tip to perfection and neatly keep the 
shavings. No fuss, no mess!Shade Range: Features:Shelf-sharpening pencilNo mess: lead shavings are kept inside the capFine tip for extra-precise applicationExtremely soft lead for a smooth, gliding applicationWaterproof formulaIntense pigmentation for best colour pay off and coverage"
712,eyeliner,"Pacifica Natural Eye Pencil is a waterproof, buttery smooth eye pencil that glides on easily to avoid pulling on the delicate eye area. Color glides on and stays put for those perfectly defined eyes. Whether it be a very fine line or the ever glamorous cat-eye, these pencils provide the right amount of saturated color to make your eyes pop.Formulated without: Animal ingredients (including carmine, beeswax and 
lanolin), animal testing, FD&C colors, mineral oil, parabens, 
phthalates, petroleum, propylene glycol, SLS, gluten, peanut oil and 
other ingredients you don’t want on your skin.Ingredients: Gun Metal (pewter) - hydrogenated simmondsia chinensis seed oil, mica, caprylic / capric triglycerides, hydrogenated vegetable oil, simmondsia chinensis seed oil, butyrospermum parkii butter, titanium dioxide CI 77891, canola oil, sclerocarya birrea seed oil, iron oxide CI 77499, euphorbia cerifera cera, glyceryl caprylate, copernicia cerifera cera, tocopherol, helianthus annuus seed oil, ascorbyl palmitateBare (Nude) - titanium dioxide CI 77891, hydrogenated simmondsia chinensis seed oil, simmondsia chinensis seed oil, caprylic / capric triglycerides, hydrogenated vegetable oil, mica, butyrospermum parkii butter, canola oil, sclerocarya birrea seed oil, iron oxide CI 77492, euphorbia cerifera cera, glyceryl caprylate, copernicia cerifera cera, iron oxide CI 77491, iron oxide CI 77499, tocopherol, ascorbyl palmitate.Fringe (brown) - hydrogenated simmondsia chinensis seed oil, iron oxide CI 77499, mica, iron oxide CI 77491, iron oxide CI 77492, hydrogenated vegetable oil, caprylic / capric triglyceride, simmondsia chinensis seed oil, butyrospermum parkii butter, canola oil, sclerocarya birrea seed oil, candelilla cerifera cera, glyceryl caprylate, copernicia cerifera cera, tocopherol, helianthus annuus seed oil, ascorbyl palmitate.Jet (black) - iron oxide CI 77499, hydrogenated simmondsia chinenesis seed oil, caprylic / capric triglyceride, simmondsia chinenesis seed oil, hydrogenated vegetable oil, butyrospermum parkii butter, sclerocarya birrea seed oil, mica, candelilla cerifera cera, glyceryl caprylate, copernicia cerifera cera, tocopherol, helianthus annuus seed oil, ascorbyl palmitate"
713,eyeliner,"With liquiline blast, you'll get all the intensity and staying power of a
 liquid with ease and blendability of a pencil. Use the 
liner as-is for intense definition or smoke-it-out with the built-in 
smudger end for a subtle, smoky look.Features: Liquid-like formula + the ease of a pencil applicatorSmudger tip lets you customize your intensity"
714,eyeliner,"So creamy and smooth it feels like silk on your skin!Annabelle  Smoothliners are 
available in a matte or metallic finish and allow for a clean line, 
adding depth and elegance to your eyes. Lovely and alluring eyes, all 
day long! Waterproof. Long-lasting. Hypo-Allergenic.Shade Range:"
715,eyeliner,"
        Use Marcelle Waterproof Eyeliner for impeccably lined eyes anywhere, anytime!
Perfectly blendable, its creamy formula allows for a precise and 
intensely coloured line. The smooth texture of this waterproof eyeliner 
virtually glides on the skin and stays put all day long, resisting to 
water, humidity and heat. Long-lasting, it is nonetheless easily removed
 with any Marcelle eye make-up remover. Available in a matte or 
pearlized finish.

Hypo-allergenic and perfume free.Shade Range:     "
716,eyeliner,"Warm Nude Eyeliner Trio!  The perfect set of earth tone eyeliners to create a Warm Nude look for ANY eye color! Long-wearing, water-resistant and smudge-resistant formula for 24-Hour wear.Tips and Tricks for a Smoky Eye: Apply Eyeliner at the base of upper and lower lash line. Layer shades together for endless looks!Ingredients: Cyclopentasiloxane. Trimethylsiloxysilicate. Polyethylene. Ozokerite. 
Lauroyl Lysine. Synthetic Beeswax. Octyldodecanol. Disteardimonium 
Hectorite. Propylene Carbonate.  Lecithin. Ascorbyl Palmitate. Citric 
Acid. Tocopherol.  May Contain: Iron Oxides. Titanium Dioxide. Mica. 
Aluminum Powder. Bismuth Oxychloride. Black 2. Blue 1 Lake. Carmine. 
Chromium Hydroxide Green. Chromium Oxide Greens. Ferric Ammonium 
Ferrocyanide. Ferric Ferrocyanide. Manganese Violet. Silica. Tin Oxide. 
Ultramarines. Yellow 5 Lake.Hypoallergenic. Fragrance-free. Paraben-Free. Gluten Free.  
Dermatologist approved. Safe for sensitive eyes and contact lens 
wearers."
717,eyeliner,"
                    L'Oréal Paris introduces Silkissime™ by 
Infallible® Eyeliner. The formula glides on like silk for a soft and 
luxurious line with up to 16H of intensity.Features:

Rich, silky formulaSmudge-resistant, up to 16H wearOphthalmologist testedSuitable for sensitive eyes and contact lens wearers
                "
718,eyeliner,Now get the intense look and luxurious feel of a liquid liner with the easy application and precision of a pencil.  Extra-Intense Liquid Pencil Eyeliner glides on smoothly and evenly for beautiful definition in a single stroke.  The smudge-resistant formula provides 16 hours of non-stop wear. 
719,eyeliner,"Get inked — without the commitment! Ink It! colors glide on smoothly and
 easily without skipping, dragging, or pulling. The bright, bold shades 
last all day long.Features: Bright, bold colors for new looks Lasts all day long ­­— no smudging or creasingExpert precision applicationTwist up design"
720,eyeliner,"Shimmer Strips Custom Eye Enhancing Eyeliner Trio is the perfect set of three eyeliners to enhance your eye colour and provide glamorous definition! Long-wearing, water-resistant and smudge-resistant formula for 24-Hour wear.Directions for Use: Apply eyeliner at the base of upper lashes. Layer shades together for endless looks. For more defined eyes, apply along lower lash line as well.Ingredients: Cyclopentasiloxane. Trimethylsiloxysilicate. Polyethylene. Ozokerite. Lauroyl Lysine. Synthetic Beeswax. Octyldodecanol. Disteardimonium Hectorite. Propylene Carbonate. Lecithin. Ascorbyl Palmitate. Citric Acid. Tocopherol. May Contain: Iron Oxides. Titanium Dioxide. Mica. Aluminum Powder. Bismuth Oxychloride. Black 2. Blue 1 Lake. Carmine. Chromium Hydroxide Green. Chromium Oxide Greens. Ferric Ammonium Ferrocyanide. Ferric Ferrocyanide. Manganese Violet. Silica. Tin Oxide. Ultramarines. Yellow 5 Lake.Hypoallergenic. Fragrance free. Paraben free. Dermatologist approved. Safe for sensitive eyes and contact lens wearers."
721,eyeliner,"The pencil gives you control and versatility. Want a precise line? It 
glides on easily. Want to soften a bit? There's a soft smudger tip. Best
 of all? No sharpening necessary, it's got a specially designed 
self-sharpener inside. So you always get the point—perfectly.Features: Specially-designed self-sharpenerSoft smudger tip for great blendingGlides on easilyOphthalmologically-tested"
722,eyeliner,"A versatile two-in-one, this double-ended pencil performs an almost endless array of tasks. Depending on which of our three shade duos you pick, the matte side can be used as an eye shadow base (or shadow itself) and brow highlighter, while the pearl side can brighten up the inner corners of the eyes, and lift and define the brows. Vanilla/Natural Taupe brightens, shapes, and fills in brows. So much brow bang for your buck.Features:Matte side can be used as an eye shadow base and brow highlighterPearl side can brighten up the inner corners of the eyes, and lift and define the browsVanilla/Natural Taupe brightens, shapes and fills browsEasy to useApplication: Use the matte side to enhance and shape the brows, use the pearl side as an instant brow lift and eye brightener. 01 Matte Beige/High Glow:  Both sides can be used underneath the brow bone as a highlighter. Matte Beige can be used as an eyeshadow or eyeshadow base. High Glow can be used in the inner corners of the eyes to brighten. 02 Matte Cream/Luminous Lift:  Both sides can be used underneath the brow bone as a highlighter. Matte Beige can be used as an eyeshadow or eyeshadow base. High Glow can be used in the inner corners of the eyes to brighten. 03 Vanilla/Natural Taupe:  Both sides are matte. Vanilla can be used underneath the brow bone as a highlighter. It can also be used as an eyeshadow or eyeshadow base. Natural Taupe can be used to define and fill-in brows and as an eyeshadow. Ingredients: Isodecyl Isononanoate, Hydrogenated Coco-Glycerides, Euphorbia Cerifera Cera (Candelilla Wax), Cera Microcristallina (Microcrystalline Wax), Polymethyl Methacrylate, Silica, Copernicia Cerifera Cera (Carnauba Wax), Disteardimonium Hectorite, Tocopherol, Propylene Carbonate, Ascorbyl Palmitate, Mica, Titanium Dioxide (CI 77891), Iron Oxide (CI 77491). +/- May Contain: Iron Oxides (CI 77492, CI 77499). "
723,eyeliner,Enjoy beautifully defined eyes for up to 16 hours! New Infallible Never Fail Eyeliner is L'Oreal's most advanced mechanical liner with superior long-wearing technology. The rich and creamy formula glides on easily and evenly and sets quickly for fade-proof colour. Use the bulit-in smudger and sharper to create versatile eyeliner looks for any occasion.
